课程大类,课程类别,最低门数,最少学分,课程编号,课程中文名称,学时,学分
核心课,公共必修课,3,,3131101161,计算机学科论文写作指导,16,1
核心课,公共必修课,3,,3320100999,中国马克思主义与当代,32,2
核心课,公共必修课,3,,3321101882,科研诚信与学术规范（MOOC）,16,1
核心课,基础理论课,2,,3121101514,矩阵理论与方法（博）,48,3
核心课,基础理论课,2,,3131100279,近世代数及其应用,48,3
核心课,基础理论课,2,,3151100976,具体数学：计算机科学基础,32,2
核心课,基础理论课,2,,3411100638,应用泛函分析,48,3
核心课,基础理论课,2,,3411101115,随机过程论,48,3
核心课,基础理论课,2,,3411102309,系统科学理论与方法,32,2
核心课,核心专业课,2,,3131100286,高级机器学习,32,2
核心课,核心专业课,2,,3131101521,大数据分析与挖掘,32,2
核心课,核心专业课,2,,3131101538,软件工程研究方法,32,2
核心课,核心专业课,2,,3131101551,移动计算与人工智能,32,2
核心课,学科交叉课,1,,3131101531,跨媒体推荐系统前沿,32,2
核心课,学科交叉课,1,,3131101534,汽车智能网联技术,32,2
核心课,学科交叉课,1,,3131101553,智慧医疗发展前沿,32,2
核心课,学科交叉课,1,,3131102214,量子智能计算,32,2
选修课,专业选修课,1,,3131101089,高性能计算,32,2
选修课,专业选修课,1,,3131101526,高级算法分析与设计,32,2
选修课,专业选修课,1,,3131102255,生成式人工智能技术与应用,32,2
选修课,专业选修课,1,,3131102332,信息与网络软件安全,32,2
选修课,专业选修课,1,,3151100852,软件测试技术,32,2
选修课,专业选修课,1,,3151100868,软件确保,32,2
选修课,专业选修课,1,,3151101004,数据库系统设计与开发,34,2
选修课,博士英语选修课,0,,3311101694,研究生英语国际学术交流,32,2
选修课,博士英语选修课,0,,3311101696,研究生英语科技读译与科技传播,32,2
选修课,博士英语选修课,0,,3311101699,研究生英语跨文化职场交流,32,2
选修课,博士英语选修课,0,,3311101712,研究生英语学术阅读与写作,32,2
选修课,公共选修课,1,,,课程清单详见“北京邮电大学 2024 版公共选修课清单”,,
必修环节,必修环节,3,,2030100020,教学实践,16,1
必修环节,必修环节,3,,2031100021,学术活动,16,1
必修环节,必修环节,3,,2031101867,综合素质实践,16,1
学位论文,学位论文,1,,2031101038,博士学位论文,0,8
